Candidate,Source,Date,Score
Clinton,foxnews.com,2016-10-03,-0.199729948325
Clinton,foxnews.com,2016-10-04,-0.2660279995781481
Clinton,foxnews.com,2016-10-05,-0.3714134955
Clinton,foxnews.com,2016-10-07,-0.15378808077692313
Clinton,freerepublic.com,2016-08-17,-0.270433674325
Clinton,freerepublic.com,2016-08-18,-0.24296708616925927
Clinton,freerepublic.com,2016-08-19,-0.22027447887368423
Clinton,freerepublic.com,2016-08-20,-0.22650177149999998
Clinton,freerepublic.com,2016-08-21,-0.21061545533066667
Clinton,freerepublic.com,2016-08-23,-0.14659256723333333
Clinton,freerepublic.com,2016-08-24,-0.2774082471
Clinton,freerepublic.com,2016-08-25,-0.2610581666666667
Clinton,freerepublic.com,2016-08-26,-0.110572502
Clinton,freerepublic.com,2016-08-27,-0.20547495408888888
Clinton,freerepublic.com,2016-08-29,-0.26428428105466667
Clinton,freerepublic.com,2016-08-30,-0.20174323482499995
Clinton,freerepublic.com,2016-08-31,-0.231546167453125
Clinton,freerepublic.com,2016-09-01,-0.17532474925000002
Clinton,freerepublic.com,2016-09-03,-0.11589507210000001
Clinton,freerepublic.com,2016-09-04,-0.25980968176
Clinton,freerepublic.com,2016-09-05,-0.253482644175
Clinton,freerepublic.com,2016-09-06,-0.03565980108666666
Clinton,freerepublic.com,2016-09-07,-0.12201006258750001
Clinton,freerepublic.com,2016-09-08,-0.09684396776666666
Clinton,freerepublic.com,2016-09-09,-0.08630277532500001
Clinton,freerepublic.com,2016-09-11,-0.1721141015333333
Clinton,freerepublic.com,2016-09-12,-0.15183916864157898
Clinton,freerepublic.com,2016-09-13,-0.13677473283333336
Clinton,freerepublic.com,2016-09-14,-0.17129845161874993
Clinton,freerepublic.com,2016-09-15,-0.1591737481272727
Clinton,freerepublic.com,2016-09-16,-0.14052763232800003
Clinton,freerepublic.com,2016-09-17,-0.16744799900000001
Clinton,freerepublic.com,2016-09-18,-0.22112981050750002
Clinton,freerepublic.com,2016-09-19,-0.390188992
Clinton,freerepublic.com,2016-09-21,-0.23134271664999997
Clinton,freerepublic.com,2016-09-22,-0.2329124368808572
Clinton,freerepublic.com,2016-09-25,-0.20498895018888885
Clinton,freerepublic.com,2016-09-26,-0.10936966835125
Clinton,freerepublic.com,2016-09-27,-0.1660814187335
Clinton,freerepublic.com,2016-09-28,-0.18208720413703705
Clinton,freerepublic.com,2016-09-29,-0.0300212
Clinton,freerepublic.com,2016-09-30,-0.2178911197648838
Clinton,freerepublic.com,2016-10-01,-0.11351456581968751
Clinton,freerepublic.com,2016-10-02,-0.101925999775
Clinton,freerepublic.com,2016-10-03,-0.06254660835909093
Clinton,freerepublic.com,2016-10-04,-0.015625349039
Clinton,freerepublic.com,2016-10-06,-0.092528902
Clinton,freerepublic.com,2016-10-07,-0.04521173255
Clinton,gazette.com,2016-08-16,-0.36630349866666667
Clinton,gazette.com,2016-08-18,-0.1564330457
Clinton,gazette.com,2016-08-19,-0.2816043776066666
Clinton,gazette.com,2016-08-20,-0.13785609908
Clinton,gazette.com,2016-08-21,-0.16722778694999998
Clinton,gazette.com,2016-08-22,-0.17491196718500002
Clinton,gazette.com,2016-08-23,-0.16888661771428573
Clinton,gazette.com,2016-08-24,-0.22699710146250002
Clinton,gazette.com,2016-08-26,-0.155912275
Clinton,gazette.com,2016-08-28,-0.17445813007142857
Clinton,gazette.com,2016-08-30,-0.278118021675
Clinton,gazette.com,2016-08-31,-0.3080187264545455
Clinton,gazette.com,2016-09-01,-0.1881157693666667
Clinton,gazette.com,2016-09-02,-0.23955109962499999
Clinton,gazette.com,2016-09-05,-0.19592629944545453
Clinton,gazette.com,2016-09-06,-0.24719071117000002
Clinton,gazette.com,2016-09-07,-0.24302365825999994
Clinton,gazette.com,2016-09-08,-0.342341989
Clinton,gazette.com,2016-09-09,-0.1058487966
Clinton,gazette.com,2016-09-10,-0.178604251
Clinton,gazette.com,2016-09-13,-0.291878998
Clinton,gazette.com,2016-09-14,-0.17712243270833336
Clinton,gazette.com,2016-09-15,-0.2537912556285714
Clinton,gazette.com,2016-09-16,-0.309083998
Clinton,gazette.com,2016-09-17,-0.03221749337999999
Clinton,gazette.com,2016-09-18,-0.383639008
Clinton,gazette.com,2016-09-19,-0.335723013
Clinton,gazette.com,2016-09-21,-0.15895399183076922
Clinton,gazette.com,2016-09-22,-0.17093382208846153
Clinton,gazette.com,2016-09-23,-0.3171672924
Clinton,gazette.com,2016-09-24,-0.1959580106777778
